code,name,big_cat,mid_cat,small_cat,theme_id,theme_name,weight,role,confidence,source
6384,昭和真空,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6524,湖北工業,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6666,リバーエレテック,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6762,ＴＤＫ,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6763,帝国通信工業,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6768,タムラ製作所,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6779,日本電波工業,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6817,スミダコーポレーション,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6926,岡谷電機産業,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6962,大真空,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6966,三井ハイテック,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6969,松尾電機,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6976,太陽誘電,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6981,村田製作所,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6989,北陸電気工業,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6994,指月電機製作所,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6996,ニチコン,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
6997,日本ケミコン,機械・エレクトロニクス,半導体・電子部品,電子受動部品（コンデンサー・コイル）,mlcc,MLCC・電子部品,1.0,core,auto,業種:電子受動部品（コンデンサー・コイル）
